label	lineage
EPI_ISL_93522|B/Maryland/03/2011|NS	Victoria
EPI_ISL_117026|B/Maryland/03/2012|NS	Victoria
EPI_ISL_132491|B/Maryland/08/2012|NS	Victoria
EPI_ISL_136475|B/Maryland/11/2012|NS	Victoria
EPI_ISL_139551|B/Maryland/01/2013|NS	Victoria
EPI_ISL_142897|B/Maryland/02/2013|NS	Victoria
EPI_ISL_143228|B/Maryland/03/2013|NS	Victoria
EPI_ISL_155567|B/Maryland/05/2013|NS	Victoria
EPI_ISL_155569|B/Maryland/06/2013|NS	Victoria
EPI_ISL_157838|B/Maryland/03/2014|NS	Victoria
EPI_ISL_158694|B/Maryland/02/2014|NS	Victoria
EPI_ISL_159056|B/Maryland/04/2014|NS	Victoria
EPI_ISL_159692|B/Maryland/05/2014|NS	Victoria
EPI_ISL_165847|B/Maryland/12/2014|NS	Victoria
EPI_ISL_172668|B/Maryland/18/2014|NS	Victoria
EPI_ISL_173784|B/Maryland/19/2014|NS	Victoria
EPI_ISL_192617|B/Maryland/12/2015|NS	Victoria
EPI_ISL_192618|B/Maryland/12/2015|NS	Victoria
EPI_ISL_193275|B/Maryland/20/2015|NS	Victoria
EPI_ISL_193278|B/Maryland/19/2015|NS	Victoria
EPI_ISL_193656|B/Maryland/23/2015|NS	Victoria
EPI_ISL_194875|B/Maryland/18/2015|NS	Victoria
EPI_ISL_194876|B/Maryland/24/2015|NS	Victoria
EPI_ISL_194877|B/Maryland/25/2015|NS	Victoria
EPI_ISL_195507|B/Maryland/16/2015|NS	Victoria
EPI_ISL_196616|B/Maryland/12/2015|NS	Victoria
EPI_ISL_197432|B/Maryland/22/2015|NS	Victoria
EPI_ISL_205305|B/Maryland/26/2015|NS	Victoria
EPI_ISL_212817|B/Maryland/28/2015|NS	Victoria
EPI_ISL_218682|B/Maryland/01/2016|NS	Victoria
EPI_ISL_225192|B/Maryland/05/2016|NS	Victoria
EPI_ISL_225193|B/Maryland/06/2016|NS	Victoria
EPI_ISL_229376|B/Maryland/05/2016|NS	Victoria
EPI_ISL_232325|B/Maryland/08/2016|NS	Victoria
EPI_ISL_232326|B/Maryland/09/2016|NS	Victoria
